0,1,2,3,4,5,6,7
114,True,СРО-С-115-16122009,Ассоциация по содействию в строительстве «ПРОФЕССИОНАЛЫ СТРОИТЕЛЬНОГО КОМПЛЕКСА»,"101000, г. Москва, ул. Маросейка, д. 9/2, стр. 6",Москва,Москва,182
115,True,СРО-С-116-16122009,Союз «Саморегулируемая организация «Объединение строителей Приамурья»,"675000, Амурская область, г. Благовещенск, ул.Чайковского, д.3, офис 208, 209",Амурская область,Дальневосточный ФО,183
116,True,СРО-С-117-17122009,Ассоциация Саморегулируемая организация «Енисейский альянс строителей»,"660125 Россия, Красноярский край, г. Красноярск, пр. Комсомольский, д. 22/1, пом.97",Красноярский край,Сибирский ФО,184
117,True,СРО-С-118-17122009,Ассоциация Саморегулируемая организация «Объединение строительных организаций транспортного комплекса»,"129085, г. Москва, проспект Мира, д. 95, стр. 1, эт. 3, пом. 1, ком. 19",Москва,Москва,185
118,True,СРО-С-119-17122009,Саморегулируемая организация Ассоциация строителей малого и среднего бизнеса,"603155, Нижегородская обл., г. Нижний Новгород, ул. Большая Печерская, д. 26",Нижегородская область,Приволжский ФО,186
119,True,СРО-С-120-17122009,Ассоциация саморегулируемая организация «СТРОЙГАРАНТ»,"614000, г. Пермь, ул. Советская, д. 104",Пермский край,Приволжский ФО,187
120,True,СРО-С-121-17122009,Союз «Саморегулируемая организация «Инженерно-строительные предприятия Московской области»,"143402, Московская область, г. Красногорск, ул. Школьная, д. 1",Московская область,Центральный ФО,188
121,False,СРО-С-122-18122009,СОЮЗ «МЕЖДУНАРОДНАЯ ГИЛЬДИЯ ТРАНСПОРТНЫХ СТРОИТЕЛЕЙ»,"129329, г.Москва,  ул.Кольская д.2, корп.6",Москва,Москва,189
122,True,СРО-С-123-18122009,Союз «Строители Кабардино-Балкарской Республики»,"360000, Республика Кабардино-Балкарская, г. Нальчик, ул. Тургенева, д. 21",Кабардино-Балкарская Республика,Северо-Кавказский ФО,190
123,True,СРО-С-124-18122009,Ассоциация «Курская саморегулируемая организация строителей»,"305004, г. Курск, ул. Ленина, д. 77-б, офис № 206-б (2-ой этаж)",Курская область,Центральный ФО,191
124,True,СРО-С-125-21122009,Саморегулируемая организация Ассоциация «Строители Поволжья»,"443035, г. Самара, ул. Мирная, д. 162 Б, 4 этаж",Самарская область,Приволжский ФО,192
125,True,СРО-С-126-21122009,Ассоциация «Саморегулируемая организация «Союз строителей Амурской области»,"675000, Амурская область, г. Благовещенск, пер. Св. Иннокентия, д. 1, офис 47",Амурская область,Дальневосточный ФО,193
126,True,СРО-С-127-21122009,Ассоциация Саморегулируемая организация «Региональное объединение строителей Приморского края»,"690003, Приморский край, г. Владивосток, ул. Станюковича, д. 3, оф. 33",Приморский край,Дальневосточный ФО,194
